0abca84f-a830-42ae-b743-615c6a7ae22c,"{street:'Beijing Road',city:'Guangzhou',state_or_province:'Guangdong province',postal_code:'510013',country:'CHN'}",1000020,makoto.nagano@hotmail.com,Makoto,Nagano,33334444,ninja warrior
3ea361c5-1322-4258-b902-c20c21939db4,"{street:'Avenue Jean Médecin',city:'Nice',state_or_province:'Provence-Alpes-Côte d Azur',postal_code:'06100',country:'FRA'}",1000064,sophia.saphin@hotmail.com,Sophia,Saphin,111112,mathematician
357edaa0-080c-4438-aa8b-4772a81942fd,"{street:'Merchants Street ',city:'Strasbourg',state_or_province:'Neudorf',postal_code:'67100',country:'FRA'}",1000017,brian.clark@hotmail.com,Brian,Clark,33333334,lawyer
918e9b24-2515-4cd1-af55-247d87aa8d53,"{street:'Koruska ulica',city:'Bec',state_or_province:'Schonbrun',postal_code:'1020',country:'AUT'}",1000012,elizabeth.white@hotmail.com,Elizabeth,White,22223333,doctor
4ca62c9a-7414-4e8d-a48c-c657d0d30bb5,"{street:'Calleta Varaisco',city:'Venecija',state_or_province:'San Marco',postal_code:'30100',country:'ITA'}",1000084,dylan.sspourse@hotmail.com,Dylan,Spourse,444555,actor
52610453-5d2f-4bbc-9c56-ca5d59c5d5cc,"{street:'Varvarka',city:'Moskva',state_or_province:'Kitay-Gorod',postal_code:'101xxx',country:'RUS'}",1000021,jason.walker@hotmail.com,Jason,Walker,33344444,truck driver
8ece4a46-0744-45e7-9f8c-72148f07410e,"{street:'Ulica Bracka',city:'Krakov',state_or_province:'Jevrejska',postal_code:'31-029',country:'POL'}",1000083,tony.soprano@hotmail.com,Tony,Soprano,444455,mafia chef
285320b3-a998-4bf5-8350-7afa775cb04e,"{street:'Dōtonbori',city:'Osaka',state_or_province:'Osaka Prefecture',postal_code:'530-0005',country:'JPN'}",1000062,theodore.goggin@hotmail.com,Theodore,Goggin,99999999,clown
897b9f4e-c13f-4e6e-bc1a-77cf0cea8852,"{street:'Nieuwe Hoogstraat',city:'Amsterdam',state_or_province:'North Holland',postal_code:'1011AA',country:'NLD'}",1000069,marvin.ravn@hotmail.com,Maria,Ravn,222222,biologist
3ad4e71e-32f7-488a-bd38-241157c2a40c,"{street:'Gran Via',city:'Madrid',state_or_province:'Madrid Provincia',postal_code:'28005',country:'ESP'}",0999900,david.jones@hotmail.com,David,Jones,00111111,3d animator
1b0c94e4-c04a-4a74-9523-9bc1273ce820,"{street:'Las Ramblas',city:'Barcelona',state_or_province:'Katalonija',postal_code:'08002',country:'ESP'}",1000032,jay.tatum@hotmail.com,Jason,Tatum,55555556,basketball player
29d7cc4f-6e38-4a7e-9f10-c802503a2e37,"{street:'Farska',city:'Faro',state_or_province:'Gambelas',postal_code:'8000',country:'PRT'}",1000087,adriana.lima@hotmail.com,Adriana,Lima,555555,model
0bf20dae-1481-4633-a278-5f0645ac7158,"{street:'La Canebière',city:'Marseille',state_or_province:'Azurna obala',postal_code:'13015',country:'FRA'}",1000068,lucas.irvin@hotmail.com,Lucas,Irvin,122222,doctor
af981812-10d4-43ef-9fa5-66ea722768f7,"{street:'Calle Colon',city:'Valencia',state_or_province:'Kastilja',postal_code:'46001',country:'ESP'}",1000036,brad.pitt@hotmail.com,Brad,Pitt,55566666,actor
d03791d1-688c-43a8-bdde-332890724c01,"{street:'Inner Stadt',city:'Graz',state_or_province:'Stajerska',postal_code:'A-801',country:'AUT'}",1000073,cora.bang@hotmail.com,Cora,Bang,223333,receptionist
21499b70-59f7-4204-bb1d-50d6e1cbd56b,"{street:'Via del Corso',city:'Rim',state_or_province:'Lacio',postal_code:'00042',country:'ITA'}",1000052,matteo.b@hotmail.com,Matteo,Berettini,77888888,tennis player
74bcf9c1-f867-46e3-b605-c3fb4190a7f8,"{street:'Gran Via',city:'Madrid',state_or_province:'Madrid Provincia',postal_code:'28005',country:'ESP'}",1000047,saturu.gojo@hotmail.com,Saturu,Gojo,77777778,baker
7e177bd7-7619-40bf-8db5-0dd8ae41a2ac,"{street:'Champs-Élysées',city:'Paris',state_or_province:'Ile-de-France',postal_code:'70123',country:'FRA'}",0990000,james.jhonson@hotmail.com,James,Johnson,00011100,1st pressman
2e3690c8-004b-4ed6-91f3-5d08848fb6f6,"{street:'Quay Street',city:'Galway',state_or_province:'Cúige Chonnacht',postal_code:'H91',country:'IRL'}",1000067,henry.ivens@hotmail.com,Henry,Ivens,112222,truck driver
41030deb-c0a1-4a04-8f5d-56b80ebf6f2d,"{street:'Koruska ulica',city:'Bec',state_or_province:'Schonbrun',postal_code:'1020',country:'AUT'}",1000043,jack.sparrow@hotmail.com,Jack,Sparrow,66677777,pirate
2b242d13-dd00-4922-bde1-df5e9edf009a,"{street:'Rue Saint Rome',city:'Touluse',state_or_province:'Haute-Garrone',postal_code:'31200',country:'FRA'}",1000010,linda.jackson@hotmail.com,Linda,Jackson,22222233,mixer helper
0101d474-6100-4a72-9005-a257c0da47e3,"{street:'Vieux',city:'Lille',state_or_province:'Hauts-de-France',postal_code:'59000',country:'FRA'}",1000092,luca.dealepandrini@hotmail.com,Luca,DeAlipandini,566666,skiier
9a6d33dc-1f80-41ae-af01-7c048e37692d,"{street:'St-Brieuc',city:'Nantes',state_or_province:'Loire-Atlantique',postal_code:'281800',country:'FRA'}",1000078,gabriella.sabatini@hotmail.com,Gabriella,Sabatini,333444,retired tennis player
a0e5c49f-7186-4940-bdfd-8893dfa1f793,"{street:'Nowy Swiat',city:'Varsava',state_or_province:'Praga',postal_code:'00-001',country:'POL'}",1000023,timothy.hall@hotmail.com,Timothy,Hall,34444444,software programmer
